0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:42 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:42 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:42 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:42 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:42 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:42 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:53 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:53 +0100] "GET /Grasshopper/userLogged.jsp HTTP/1.1" 200 4220
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:53 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:53 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:53 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:53 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:53 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:37:57 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4618
127.0.0.1 - - [17/Dec/2013:10:41:55 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:41:56 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:42:22 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4624
127.0.0.1 - - [17/Dec/2013:10:44:45 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:44:46 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:44:59 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4624
127.0.0.1 - - [17/Dec/2013:10:52:45 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:52:47 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:52:50 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 500 1545
127.0.0.1 - - [17/Dec/2013:10:53:57 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:53:59 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:54:06 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4624
127.0.0.1 - - [17/Dec/2013:10:55:39 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:55:42 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:10:55:51 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4640
127.0.0.1 - - [17/Dec/2013:12:19:30 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:12:19:32 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:12:19:32 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:12:21:03 +0100] "GET /Grasshopper/Registrierung.jsp HTTP/1.1" 200 4857
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:12:21:18 +0100] "POST /Grasshopper/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:12:21:33 +0100] "POST /Grasshopper/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:12:21:54 +0100] "POST /Grasshopper/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:12:22:00 +0100] "POST /Grasshopper/Login HTTP/1.1" 200 -
